iteration,error,value
0,0.040873048,2
1,0.013021783,1.921463913
2,0.022698801,1.946814915
3,0.070287985,1.992031644
4,0.006474963,1.861210881
5,0.007201987,1.873340692
6,0.008240421,1.886930341
7,0.009887707,1.902608636
8,0.013053619,1.921608941
9,0.022839194,1.94702466
10,0.067244447,1.992532497
11,0.006801824,1.866987926
12,0.007658662,1.879773816
13,0.008938382,1.894281477
14,0.011131777,1.911365997
15,0.016116714,1.932882413
16,0.047226165,1.964544414
17,0.009666816,2.061921037
18,0.012755058,2.042179662
19,0.021943928,2.016459604
20,0.099345227,1.973160707
21,0.003816712,2.190806918
22,0.003966827,2.182477031
23,0.004136169,2.17385373
24,0.004329133,2.16489934
25,0.004551644,2.155567601
26,0.004811924,2.145800679
27,0.005121755,2.135524697
28,0.005498737,2.124642797
29,0.005970526,2.113023835
30,0.006583568,2.100482849
31,0.007423146,2.086744623
32,0.008667124,2.071368551
33,0.010767807,2.053570005
34,0.015375249,2.031693125
35,0.038974169,2.000928354
36,0.014063679,1.925869202
37,0.028065319,1.953340355
38,0.027050152,2.009744474
39,0.032102643,1.956812401
40,0.019122476,2.021714789
41,0.276878331,1.983780004
42,0.00190744,1.553617095
43,0.001919107,1.55658619
44,0.001931053,1.55957919
