iteration,X,Y
215,101.075,-2.621315957
216,101.08,-2.620666276
217,101.085,-2.620016663
218,101.09,-2.619367118
219,101.095,-2.618717641
220,101.1,-2.618068232
221,101.105,-2.617418892
222,101.11,-2.616769619
223,101.115,-2.616120414
224,101.12,-2.615471277
225,101.125,-2.614822209
226,101.13,-2.614173208
227,101.135,-2.613524275
228,101.14,-2.61287541
229,101.145,-2.612226613
230,101.15,-2.611577884
231,101.155,-2.610929223
232,101.16,-2.61028063
233,101.165,-2.609632105
234,101.17,-2.608983648
235,101.175,-2.608335258
236,101.18,-2.607686937
237,101.185,-2.607038683
238,101.19,-2.606390497
239,101.195,-2.605742379
240,101.2,-2.605094329
241,101.205,-2.604446346
242,101.21,-2.603798432
243,101.215,-2.603150585
244,101.22,-2.602502806
245,101.225,-2.601855094
246,101.23,-2.601207451
247,101.235,-2.600559875
248,101.24,-2.599912367
249,101.245,-2.599264927
250,101.25,-2.598617554
251,101.255,-2.597970249
252,101.26,-2.597323012
253,101.265,-2.596675843
254,101.27,-2.596028741
255,101.275,-2.595381707
256,101.28,-2.59473474
257,101.285,-2.594087841
258,101.29,-2.59344101
259,101.295,-2.592794246
260,101.3,-2.59214755
261,101.305,-2.591500922
262,101.31,-2.590854361
263,101.315,-2.590207868
264,101.32,-2.589561442
265,101.325,-2.588915084
266,101.33,-2.588268794
267,101.335,-2.587622571
268,101.34,-2.586976415
269,101.345,-2.586330327
270,101.35,-2.585684307
271,101.355,-2.585038354
272,101.36,-2.584392468
273,101.365,-2.58374665
274,101.37,-2.583100899
275,101.375,-2.582455216
276,101.38,-2.5818096
277,101.385,-2.581164052
278,101.39,-2.580518571
279,101.395,-2.579873158
280,101.4,-2.579227812
281,101.405,-2.578582533
282,101.41,-2.577937322
283,101.415,-2.577292178
284,101.42,-2.576647101
285,101.425,-2.576002092
286,101.43,-2.57535715
287,101.435,-2.574712275
288,101.44,-2.574067468
289,101.445,-2.573422728
290,101.45,-2.572778055
291,101.455,-2.57213345
292,101.46,-2.571488912
293,101.465,-2.570844441
294,101.47,-2.570200037
295,101.475,-2.569555701
296,101.48,-2.568911431
297,101.485,-2.568267229
298,101.49,-2.567623094
299,101.495,-2.566979027
300,101.5,-2.566335026
301,101.505,-2.565691093
302,101.51,-2.565047227
303,101.515,-2.564403428
304,101.52,-2.563759696
305,101.525,-2.563116032
306,101.53,-2.562472434
307,101.535,-2.561828903
308,101.54,-2.56118544
309,101.545,-2.560542044
310,101.55,-2.559898715
311,101.555,-2.559255452
312,101.56,-2.558612257
313,101.565,-2.557969129
314,101.57,-2.557326068
315,101.575,-2.556683074
316,101.58,-2.556040147
317,101.585,-2.555397287
318,101.59,-2.554754494
319,101.595,-2.554111768
320,101.6,-2.553469109
321,101.605,-2.552826517
322,101.61,-2.552183992
323,101.615,-2.551541534
324,101.62,-2.550899142
325,101.625,-2.550256818
326,101.63,-2.54961456
327,101.635,-2.54897237
328,101.64,-2.548330246
329,101.645,-2.547688189
330,101.65,-2.547046199
331,101.655,-2.546404276
332,101.66,-2.54576242
333,101.665,-2.54512063
334,101.67,-2.544478908
335,101.675,-2.543837252
336,101.68,-2.543195663
337,101.685,-2.54255414
338,101.69,-2.541912685
339,101.695,-2.541271296
340,101.7,-2.540629974
341,101.705,-2.539988719
342,101.71,-2.539347531
343,101.715,-2.538706409
344,101.72,-2.538065354
345,101.725,-2.537424366
346,101.73,-2.536783444
347,101.735,-2.536142589
348,101.74,-2.535501801
349,101.745,-2.534861079
350,101.75,-2.534220424
351,101.755,-2.533579836
352,101.76,-2.532939314
353,101.765,-2.532298859
354,101.77,-2.53165847
355,101.775,-2.531018148
356,101.78,-2.530377893
357,101.785,-2.529737704
358,101.79,-2.529097582
359,101.795,-2.528457527
360,101.8,-2.527817538
361,101.805,-2.527177615
362,101.81,-2.526537759
363,101.815,-2.52589797
364,101.82,-2.525258247
365,101.825,-2.52461859
366,101.83,-2.523979
367,101.835,-2.523339476
368,101.84,-2.522700019
369,101.845,-2.522060629
370,101.85,-2.521421305
371,101.855,-2.520782047
372,101.86,-2.520142855
373,101.865,-2.51950373
374,101.87,-2.518864672
375,101.875,-2.51822568
376,101.88,-2.517586754
377,101.885,-2.516947895
378,101.89,-2.516309101
379,101.895,-2.515670375
380,101.9,-2.515031714
381,101.905,-2.51439312
382,101.91,-2.513754592
383,101.915,-2.513116131
384,101.92,-2.512477736
385,101.925,-2.511839407
386,101.93,-2.511201144
387,101.935,-2.510562948
388,101.94,-2.509924818
389,101.945,-2.509286754
390,101.95,-2.508648756
391,101.955,-2.508010825
392,101.96,-2.50737296
393,101.965,-2.506735161
394,101.97,-2.506097428
395,101.975,-2.505459761
396,101.98,-2.504822161
397,101.985,-2.504184627
398,101.99,-2.503547158
399,101.995,-2.502909756
400,102,-2.50227242
401,102.005,-2.501635151
402,102.01,-2.500997947
403,102.015,-2.500360809
404,102.02,-2.499723738
405,102.025,-2.499086732
406,102.03,-2.498449793
407,102.035,-2.49781292
408,102.04,-2.497176112
409,102.045,-2.496539371
410,102.05,-2.495902696
411,102.055,-2.495266087
412,102.06,-2.494629543
413,102.065,-2.493993066
414,102.07,-2.493356655
415,102.075,-2.492720309
416,102.08,-2.49208403
417,102.085,-2.491447817
418,102.09,-2.490811669
419,102.095,-2.490175588
420,102.1,-2.489539572
421,102.105,-2.488903622
422,102.11,-2.488267739
423,102.115,-2.487631921
424,102.12,-2.486996169
425,102.125,-2.486360482
426,102.13,-2.485724862
427,102.135,-2.485089308
428,102.14,-2.484453819
429,102.145,-2.483818396
430,102.15,-2.483183039
431,102.155,-2.482547748
432,102.16,-2.481912522
433,102.165,-2.481277363
434,102.17,-2.480642269
435,102.175,-2.480007241
436,102.18,-2.479372278
437,102.185,-2.478737382
438,102.19,-2.478102551
439,102.195,-2.477467786
440,102.2,-2.476833086
441,102.205,-2.476198452
442,102.21,-2.475563884
443,102.215,-2.474929382
444,102.22,-2.474294945
445,102.225,-2.473660574
446,102.23,-2.473026268
447,102.235,-2.472392029
448,102.24,-2.471757854
449,102.245,-2.471123746
450,102.25,-2.470489703
451,102.255,-2.469855726
452,102.26,-2.469221814
453,102.265,-2.468587968
454,102.27,-2.467954187
455,102.275,-2.467320472
456,102.28,-2.466686822
457,102.285,-2.466053238
458,102.29,-2.46541972
459,102.295,-2.464786267
460,102.3,-2.464152879
461,102.305,-2.463519557
462,102.31,-2.462886301
463,102.315,-2.46225311
464,102.32,-2.461619984
465,102.325,-2.460986924
466,102.33,-2.460353929
467,102.335,-2.459721
468,102.34,-2.459088136
469,102.345,-2.458455338
470,102.35,-2.457822605
471,102.355,-2.457189937
472,102.36,-2.456557335
473,102.365,-2.455924798
474,102.37,-2.455292326
475,102.375,-2.45465992
476,102.38,-2.454027579
477,102.385,-2.453395304
478,102.39,-2.452763093
479,102.395,-2.452130949
480,102.4,-2.451498869
481,102.405,-2.450866855
482,102.41,-2.450234906
483,102.415,-2.449603022
484,102.42,-2.448971203
485,102.425,-2.44833945
486,102.43,-2.447707762
487,102.435,-2.447076139
488,102.44,-2.446444581
489,102.445,-2.445813089
490,102.45,-2.445181662
491,102.455,-2.4445503
492,102.46,-2.443919003
493,102.465,-2.443287771
