iteration,error,value
0,0.001972387,126.5
1,0.001972387,126.75
2,9.87E-04,126.625
3,4.93E-04,126.6875
4,2.47E-04,126.65625
5,1.23E-04,126.640625
6,6.17E-05,126.6328125
