iteration,X,Y
216,-0.8704,-30.58877847
217,-0.8698,-30.5632168
218,-0.8692,-30.53766731
219,-0.8686,-30.51213
220,-0.868,-30.48660486
221,-0.8674,-30.4610919
222,-0.8668,-30.43559112
223,-0.8662,-30.4101025
224,-0.8656,-30.38462604
225,-0.865,-30.35916175
226,-0.8644,-30.33370962
227,-0.8638,-30.30826965
228,-0.8632,-30.28284183
229,-0.8626,-30.25742617
230,-0.862,-30.23202266
231,-0.8614,-30.20663129
232,-0.8608,-30.18125207
233,-0.8602,-30.15588499
234,-0.8596,-30.13053006
235,-0.859,-30.10518726
236,-0.8584,-30.07985659
237,-0.8578,-30.05453806
238,-0.8572,-30.02923166
239,-0.8566,-30.00393738
240,-0.856,-29.97865523
241,-0.8554,-29.9533852
242,-0.8548,-29.92812729
243,-0.8542,-29.9028815
244,-0.8536,-29.87764782
245,-0.853,-29.85242625
246,-0.8524,-29.8272168
247,-0.8518,-29.80201944
248,-0.8512,-29.7768342
249,-0.8506,-29.75166105
250,-0.85,-29.7265
251,-0.8494,-29.70135105
252,-0.8488,-29.67621419
253,-0.8482,-29.65108942
254,-0.8476,-29.62597674
255,-0.847,-29.60087615
256,-0.8464,-29.57578763
257,-0.8458,-29.5507112
258,-0.8452,-29.52564685
259,-0.8446,-29.50059457
260,-0.844,-29.47555437
261,-0.8434,-29.45052623
262,-0.8428,-29.42551017
263,-0.8422,-29.40050616
264,-0.8416,-29.37551422
265,-0.841,-29.35053434
266,-0.8404,-29.32556652
267,-0.8398,-29.30061075
268,-0.8392,-29.27566703
269,-0.8386,-29.25073536
270,-0.838,-29.22581574
271,-0.8374,-29.20090817
272,-0.8368,-29.17601263
273,-0.8362,-29.15112914
274,-0.8356,-29.12625768
275,-0.835,-29.10139825
276,-0.8344,-29.07655086
277,-0.8338,-29.05171549
278,-0.8332,-29.02689215
279,-0.8326,-29.00208083
280,-0.832,-28.97728154
281,-0.8314,-28.95249426
282,-0.8308,-28.927719
283,-0.8302,-28.90295575
284,-0.8296,-28.87820451
285,-0.829,-28.85346528
286,-0.8284,-28.82873805
287,-0.8278,-28.80402283
288,-0.8272,-28.77931961
289,-0.8266,-28.75462838
290,-0.826,-28.72994915
291,-0.8254,-28.70528191
292,-0.8248,-28.68062667
293,-0.8242,-28.6559834
294,-0.8236,-28.63135213
295,-0.823,-28.60673283
296,-0.8224,-28.58212552
297,-0.8218,-28.55753018
298,-0.8212,-28.53294682
299,-0.8206,-28.50837542
300,-0.82,-28.483816
301,-0.8194,-28.45926854
302,-0.8188,-28.43473305
303,-0.8182,-28.41020952
304,-0.8176,-28.38569794
305,-0.817,-28.36119833
306,-0.8164,-28.33671066
307,-0.8158,-28.31223495
308,-0.8152,-28.28777118
309,-0.8146,-28.26331936
310,-0.814,-28.23887949
311,-0.8134,-28.21445155
312,-0.8128,-28.19003555
313,-0.8122,-28.16563149
314,-0.8116,-28.14123936
315,-0.811,-28.11685916
316,-0.8104,-28.09249089
317,-0.8098,-28.06813454
318,-0.8092,-28.04379012
319,-0.8086,-28.01945761
320,-0.808,-27.99513702
321,-0.8074,-27.97082835
322,-0.8068,-27.94653159
323,-0.8062,-27.92224674
324,-0.8056,-27.89797379
325,-0.805,-27.87371275
326,-0.8044,-27.84946361
327,-0.8038,-27.82522637
328,-0.8032,-27.80100103
329,-0.8026,-27.77678758
330,-0.802,-27.75258602
331,-0.8014,-27.72839635
332,-0.8008,-27.70421856
333,-0.8002,-27.68005266
334,-0.7996,-27.65589864
335,-0.799,-27.6317565
336,-0.7984,-27.60762623
337,-0.7978,-27.58350784
338,-0.7972,-27.55940132
339,-0.7966,-27.53530666
340,-0.796,-27.51122387
341,-0.7954,-27.48715295
342,-0.7948,-27.46309388
343,-0.7942,-27.43904667
344,-0.7936,-27.41501132
345,-0.793,-27.39098781
346,-0.7924,-27.36697616
347,-0.7918,-27.34297636
348,-0.7912,-27.3189884
349,-0.7906,-27.29501228
350,-0.79,-27.271048
351,-0.7894,-27.24709556
352,-0.7888,-27.22315495
353,-0.7882,-27.19922617
