iteration,error,value,
0,0.027490632017328695,0.37500000000000006,
1,0.015325603314029296,0.3649668311464232,
2,0.13388397415018724,0.37064722346265827,
3,0.001851528608426888,0.4279417680777675,
4,0.0018762908941279365,0.427150885992238,
5,0.001902064199726729,0.42635092762902466,
6,0.0019289188988631935,0.42554152033769305,
7,0.001956932402737784,0.42472226553293857,
8,0.001986190089901727,0.42389273610237466,
9,0.0020167863904986204,0.42305247347205605,
10,0.002048826056182871,0.4222009842729193,
11,0.0020824256544489856,0.42133773653984335,
12,0.002117715335726809,0.4204621553607951,
13,0.002154840934019937,0.41957361787575326,
14,0.0021939664780174736,0.4186714475027689,
15,0.002235277210816642,0.4177549072402565,
16,0.0022789832444538483,0.4168231918585552,
17,0.0023253240129561007,0.41587541874744954,
18,0.002374573738275567,0.4149106171262155,
19,0.0024270481926214325,0.4139277152440526,
20,0.002483113136236143,0.4129255250946843,
21,0.002543194943332911,0.41190272402979444,
22,0.002607794118558959,0.41085783246783353,
23,0.002677502679474506,0.4097891866370723,
24,0.0027530267803955854,0.4086949049340239,
25,0.002835216548935212,0.40757284597409515,
26,0.002925106012593167,0.4064205556887789,
27,0.0030239674004088383,0.40523519976941896,
28,0.0031333863454079372,0.4040134761881003,
29,0.003255368178243033,0.4027515001369785,
30,0.003392491681511283,0.40144464999804896,
31,0.0035481374597079525,0.40008735696765835,
32,0.0037268376663820635,0.3986728110326663,
33,0.003934831068446991,0.3971925389178214,
34,0.0041809821338948516,0.3956357789629687,
35,0.004478382596449324,0.3939885199998895,
36,0.00484732316295062,0.3922319552377813,
37,0.005321262422976728,0.3903398518325706,
38,0.005960123642865982,0.3882737453416556,
39,0.006884427100558898,0.3859732967700614,
40,0.008383213729956797,0.38333426000193144,
41,0.011396799267846201,0.38014740307308176,
42,0.02220633108701355,0.37586375925677423,
43,0.0267496075417718,0.3676985240906119,
44,0.015520888343864257,0.37780465021121834,
45,0.1537499229659233,0.37203040779136626,
46,0.001929882175830297,0.3224532460509247,
47,0.001955950407994352,0.3230767461046573,
48,0.0019831214129146283,0.32370990662859933,
49,0.002011474872576418,0.32435313828247336,
50,0.0020410987504105196,0.32500688145794043,
51,0.002072090429776229,0.3256716093728756,
52,0.0021045580494753404,0.32634783159149455,
53,0.002138622077854046,0.3270360980441023,
54,0.002174417177484127,0.32773700363580754,
55,0.0022120944259336707,0.3284511935530344,
56,0.0022518239757611503,0.3291793694012192,
57,0.0022937982600716444,0.3299222963382519,
58,0.002338235880782767,0.33068081140809885,
59,0.0023853863580811006,0.33145583333048695,
60,0.002435535975551156,0.33224837406948693,
61,0.0024890150322412264,0.3330595525918253,
62,0.002546206919447017,0.3338906113425812,
63,0.002607559589741656,0.334742936122773,
64,0.0026736001993112983,0.3356180802664625,
65,0.0027449540138930017,0.33651779430839723,
66,0.0028223691240789185,0.3374440627428877,
67,0.002906749199163521,0.3383991500556192,
68,0.002999197555290068,0.33938565904826534,
69,0.0031010774530423964,0.3404066057079091,
70,0.003214096173102655,0.34146551672280967,
71,0.003340424769970534,0.34256655858779966,
72,0.0034828728263990726,0.34371471172464796,
73,0.003645150660333453,0.3449160103243968,
74,0.003832275646805611,0.34617788085538964,
75,0.004051226177709808,0.34750963356111625,
76,0.004312042805575999,0.34892320036444296,
77,0.004629786786357999,0.3504342880149048,
78,0.005028268642830578,0.3520642705225187,
79,0.005547789659709483,0.353843490651029,
80,0.0062631743404692715,0.355817491249728,
81,0.007333108587007316,0.3580600839800582,
82,0.009172645000993554,0.36070517419029097,
83,0.013388074546612077,0.36404442446045776,
84,0.041123128758419523,0.3689844153192905,
85,0.007473026939784346,0.38480896388867863,
86,0.009464743957929988,0.3819546068221222,
87,0.014265477981135056,0.3783733994755941,
88,0.05953607318744692,0.3730516395261081,
89,0.005034994127458016,0.3520896069199807,
90,0.0055567629738663415,0.35387134707437584,
91,0.006275950194175877,0.3558487140328113,
92,0.007353242387648384,0.35809610736737724,
93,0.009210637269842711,0.3607487805921197,
94,0.013495391807128044,0.3641023956878815,
95,0.04289349377188565,0.36908331969666347,
96,0.007050854894465198,0.38562408393940756,
97,0.008677693767862689,0.38292414138292885,
98,0.012106182513251419,0.379629829973275,
